S.No.,Industry Group,2015-16,2016-17,2017-18,Private Expenditure
1,Agricultural Machinery,697.03,777.57,831.69,768.7633333
2,Bio-technology,1052.67,1075.28,1071.3,1066.416667
3,Boilers & Steam Generating Plants,50.66,51.07,68.21,56.64666667
4,Chemicals (other than fertilizers),2437.86,2813.85,3004.56,2752.09
5,Consultancy Services,27.66,28.74,26.35,27.58333333
6,Defence Industries,112.58,117.86,140.25,123.5633333
7,Drugs & Pharmaceuticals,8832.96,10294.44,10159.11,9762.17
8,Earth Moving Machinery,53.13,94.3,149.41,98.94666667
9,Electricals & Electronics,1737.6,1768.45,1935.47,1813.84
10,Fertilizers,37.79,38.38,44.03,40.06666667
11,Food Processing Industries,248,280.92,245.86,258.26
12,Fuels,39.91,45.1,51.32,45.44333333
13,Industrial Equipment,362.82,402.92,470.49,412.0766667
14,Industrial Machinery,186.27,171.39,201.52,186.3933333
15,Information Technology,3209.52,3210.62,3625.17,3348.436667
16,Machine Tools,121.41,125.68,142.16,129.75
17,Medical & Surgical Appliances,983.2,1176.57,1277.97,1145.913333
18,Metallurgical Industries,173,216.09,263.9,217.6633333
19,Paper & Pulp,16,21.25,32.22,23.15666667
20,Scientific Instruments,13,13.13,13.77,13.3
21,"Soaps, Cosmetics, Toilet Preparations",13,278.17,308.91,200.0266667
22,Sugar,11,93.63,87.58,64.07
23,Telecommunications,13,179.13,187.76,126.63
24,"Textiles (Dyed, Printed, Processed)",51,228.43,242.8,174.0766667
25,Transportation,100,6096.48,6061.18,4085.886667
26,Miscellaneous Industries,132,604.68,596.79,444.49
