S.No.,Industry Group,2015-16,2016-17,2017-18,Govt. Expenditure,Private Expenditure
1,Agricultural Machinery,0.76,1.23,0.59,0.86,768.7633333
2,Bio-technology,0.12,0.12,0.07,0.103333333,1066.416667
3,Boilers & Steam Generating Plants,129.68,162.28,129.68,140.5466667,56.64666667
4,Chemicals (other than fertilizers),17.54,13.15,15.64,15.44333333,2752.09
5,Consultancy Services,42.97,41.66,90.52,58.38333333,27.58333333
6,Defence Industries,2021.49,2199,2712.22,2310.903333,123.5633333
7,Drugs & Pharmaceuticals,2.09,2.85,3.15,2.696666667,9762.17
8,Earth Moving Machinery,66.61,78.07,102.05,82.24333333,98.94666667
9,Electricals & Electronics,95.66,94.97,102.3,97.64333333,1813.84
10,Fertilizers,19.86,17.13,14.34,17.11,40.06666667
11,Food Processing Industries,0.05,0.05,0.05,0.05,258.26
12,Fuels,1023.25,1123.63,1163.99,1103.623333,45.44333333
13,Industrial Equipment,2.09,1.23,2.41,1.91,412.0766667
14,Industrial Machinery,749.1,648.86,646.64,681.5333333,186.3933333
15,Information Technology,0,0,0,0,3348.436667
16,Machine Tools,1.65,1.93,1.73,1.77,129.75
17,Medical & Surgical Appliances,11.69,9.02,6.57,9.093333333,1145.913333
18,Metallurgical Industries,198.04,246.81,208.64,217.83,217.6633333
19,Paper & Pulp,9.72,10.94,11.15,10.60333333,23.15666667
20,Scientific Instruments,4.21,3.57,3.74,3.84,13.3
21,"Soaps, Cosmetics, Toilet Preparations",0.54,0.48,0.65,0.556666667,200.0266667
22,Sugar,0.68,0.67,0.57,0.64,64.07
23,Telecommunications,33.61,33.25,22.76,29.87333333,126.63
24,"Textiles (Dyed, Printed, Processed)",0.39,0.46,0.28,0.376666667,174.0766667
25,Transportation,9.59,6.65,0.85,5.696666667,4085.886667
26,Miscellaneous Industries,12.49,8.28,12.66,11.14333333,444.49
